neighborhood_id,neighborhood,city_id
1,"Calle Medico Valentin Gil, 8",1
2,"Calle Cava, 36",1
3,Plaza S/N,2
4,Camino Del Cruce S/N,3
5,"Calle Santiago Apóstol, 14",1
6,"Camino Viejo, 3",3
7,"Calle Eugenio Hernanz Gomez, 7",1
8,"Calle Del Calvario, 4 Num",4
9,"Lugar Urbanización Prado Pinilla, 365",3
10,"Calle Santiago, 2",3
11,Calle Cañada Merinera S/N,2
12,"Camino Del Clavel, 298",3
13,"Avenida Del Doctor Antonio García Tapia, 1",1
14,"Calle Real, 27",5
15,Avenida Del Chopo S/N,3
16,"Calle Cava, 16",1
17,"Calle Rincón, 16",3
18,"Calle Marco Fluvio, 6",6
19,"Camino Turrubuelo, 44",1
20,"Avenida Del Doctor Antonio García Tapia, 2",1
21,"Avenida Madrid, 4",1
22,"Calle Maria De Garay, 27",6
23,"Calle Val Bajo, 5",1
24,"Calle Las Damas, 40",1
25,"Calle Cantarranas, 1",6
26,"Calle Cercas, 5 Y 7",6
27,"Calle Terrero, 2",7
28,"Camino Del Rosal, 201",3
29,"Calle Del Peñasco, 3",5
30,"Calle Eugenio Hernanz Gómez, 9",1
31,"Calle San Juan, 47",3
32,"Calle Del Hermanamiento, 11",6
33,"Calle Val Bajo, 9",1
34,"Área De Riaza, Segovia",1
35,"Calle De San Nicolás, 1",3
36,"Área De Riaza, Segovia",2
37,Calle Val Bajo,1
38,"Calle Eugenio Hernanz Gómez, 8",1
39,"Avenida Doctor Antonio García Tapia, 1",1
40,Calle Callejón S/N,1
41,"Calle Fresco, 4",8
42,"Calle Encinas, 12",6
43,"Calle Real, 6",1
44,"Calle Médico Valentín Gil, 8",1
45,"Carretera Riahuelas, 3",2
46,"Travesía Real, 6",3
47,"Calle Valentin Gil, 8",1
48,"Avenida Madrid, 8",1
49,"Calle Colonia Masacor, 12",1
50,"Barriejo, 6",9
51,"Carretera Maderuelo, 29 -A",2
52,"Calle Barriejo, 16",9
53,"Calle Eugenio Hernanz Gómez, 7",1
54,"Calle Antonio Alonso, 13",6
55,"Calle De Doña María De Garay, 3",6
56,Calle De Los Huertos S/N,10
57,"Calle Emilia De Pablo Gonzalez, 3",1
58,"Calle Val Bajo, 10",1
59,"Calle De Navachicera, 38",1
60,"Calle Barrio Nuevo, 2 A",1
61,"Avenida Madrid, 6",1
62,Calle Cava,1
63,"Calle Navachicero, 24",1
64,"Calle Val Bajo, 7",1
65,"Calle Estacion De La Pinilla, 1",1
66,"Plaza San Miguel, 3",11
67,"Calle Del Rebollo, 31",3
68,"Calle Val Bajo, 2",1
69,"Camino Del Castaño, 625",3
70,"Travesía Mayor, 2",1
71,"Calle Alberca, 16",12
72,"Calle Gran Vía, 22",1
73,"Calle San Fernando, 8",2
74,"Calle Descansadero, 3",1
75,"Calle Médico Valentín Gil, 10",1
76,"Carretera De Hontanares, 15",1
77,"Plaza Alegria, 7",3
78,"Calle Cervantes, 60",1
79,"Calle De San Juan, 51",3
80,"Calle Egido, 12 C",6
81,Calle Enmedio S/N,1
82,"Bajada Calzada, 1",1
83,Calle Ricardo Provencio,1
84,"Calle Medio, 17",6
85,"Calle Cava, 43",1
86,"Calle Cava, 45",1
87,"Calle Cervantes, 82",1
88,"Calle Barruelo, 9",6
89,"Calle Mayor, 43",3
90,"Camino Del Nogal, 150",3
91,"Real, 10",3
92,"Calle De San Juan, 43",3
93,"Calle Ricardo Provencio, 9",1
94,"Calle Eras, 8",13
95,"Calle Parras, 12",14
96,Calle Eugenio Hernanz Gómez,1
97,"Plaza San Juan, 18",1
98,"Calle Emilia De Pablo Gonzalez, 5",1
99,Urb. Urbanización Prado Pinilla,3
100,"Área De Riaza, Segovia",3
101,Urb. Colonia Las Margaritas,1
102,Travesía Mayor,1
103,"Calle San Nicolás, 1",3
104,"Calle De San Nicolás, 11",3
105,"Calle Val Bajo, 47",1
106,"Área De Riaza, Segovia",6
107,"Carretera Maderuelo, 29",2
108,Madrid - Burgos,15
109,"Calle Barruelo, 11",6
110,"Camino De Valvieja, 22",6
111,"Calle Raserillo Bajo, 16",1
112,"Calle Eugenio Hernanz Gómez, 5",1
113,"Calle Raserillo Bajo, 21",1
114,"Calle San Fernando, 7",2
115,"Camino Del Ebano, 642",3
116,"Vereda De Aldeanueva, 675",1
117,"Calle Real, 3",6
118,"Calle Iglesia, 15",6
119,"Calle Médico Valentín Gil, 18",1
120,"Camino Del Roble, 580",3
121,"Calle La Corredera, 35",1
122,"Avenida Del Doctor Antonio García Tapia, 13",1
123,"Calle Arriba, 2 Y 4",6
124,"Calle Alta, 6",16
125,"Calle Real, 6",3
126,"Plaza Mayor, 3",1
127,"Camino Del Rubial, 143",3
128,"Carretera Aranda, 7",10
129,"Avenida Del Doctor Antonio García Tapia, 41",1
130,"Camino Del Alamo, 195",3
131,"Calle Real-Santibáñez De Ayl, 4",6
132,"Camino Del Roble, 576",3
133,"Calle Real, 33",2
134,"Camino Del Ebano, 563 Snparcela",3
135,"Camino De Turrubuelo, 24",1
136,"Camino Cuevas, 2",6
137,"Calle Arriba, 3",6
138,"Calle Navachicero, 36",1
139,"Carretera Riofrío, 6",1
140,"Calle Emilia De Pablo Gonzalez, 7",1
141,"Calle La Corredera, 39",1
142,"Calle La Corredera, 4",1
143,"Calle El Rubial, 2",1
144,"Calle Poza, 37",1
145,"Calle Navachicero, 22",1
146,"Calle Gran Vía, 13",1
147,"Calle Jose Clavero Núñez, 42",17
148,"Calle Mayor, 41",3
149,Calle Médico Valentín Gil,1
150,Calle Presbitero-Cerezo,1
151,Camino Del Álamo,3
152,Camino De Sepulveda,3
153,Camino De Enmedio,1
154,Calle Iglesia S/N,9
155,Camino Del Chopo,3
156,"Calle Arroyo Maximartin Y Prado Los Robles, Riaza",1
157,"Calle Virgen De Hornuez, 23",13
158,"Calle Lepanto, 12",1
159,"Calle Cervantes, 2",1
160,"Calle Lepanto, 15",1
161,"Plaza Mayor, 4",1
162,Camino Del Roble,3
163,San Pedro,3
164,Calle San Pedro,3
165,"Calle Miguel González, 18",18
166,Paseo De Las Delicias,1
167,"Camino De Aldeanueva, 600",1
