time_id,scraping_date,year,quarter,month,day,day_name,is_weekend
1,2019-04-13,2019,2,4,13,Saturday,True
2,2026-05-21,2026,2,5,21,Thursday,False
3,2019-04-12,2019,2,4,12,Friday,False
4,2019-04-14,2019,2,4,14,Sunday,True
5,2019-04-11,2019,2,4,11,Thursday,False
6,2019-04-08,2019,2,4,8,Monday,False
7,2019-04-09,2019,2,4,9,Tuesday,False
8,2019-04-15,2019,2,4,15,Monday,False
9,2019-03-29,2019,1,3,29,Friday,False
10,2019-03-30,2019,1,3,30,Saturday,True
11,2019-03-31,2019,1,3,31,Sunday,True
12,2019-03-26,2019,1,3,26,Tuesday,False
13,2019-03-27,2019,1,3,27,Wednesday,False
14,2019-04-01,2019,2,4,1,Monday,False
15,2007-11-23,2007,4,11,23,Friday,False
16,2013-06-28,2013,2,6,28,Friday,False
17,2001-06-26,2001,2,6,26,Tuesday,False
18,1997-10-31,1997,4,10,31,Friday,False
19,1998-02-23,1998,1,2,23,Monday,False
20,1996-09-27,1996,3,9,27,Friday,False
21,1998-05-21,1998,2,5,21,Thursday,False
22,2015-10-30,2015,4,10,30,Friday,False
23,2010-01-08,2010,1,1,8,Friday,False
24,2012-07-05,2012,3,7,5,Thursday,False
25,2003-07-31,2003,3,7,31,Thursday,False
26,2001-02-09,2001,1,2,9,Friday,False
27,1998-07-24,1998,3,7,24,Friday,False
28,2016-02-26,2016,1,2,26,Friday,False
29,2006-04-04,2006,2,4,4,Tuesday,False
30,2000-01-07,2000,1,1,7,Friday,False
31,1996-04-04,1996,2,4,4,Thursday,False
32,1997-02-14,1997,1,2,14,Friday,False
33,2006-10-06,2006,4,10,6,Friday,False
34,2016-10-14,2016,4,10,14,Friday,False
35,2003-02-04,2003,1,2,4,Tuesday,False
36,2001-11-08,2001,4,11,8,Thursday,False
37,2004-01-30,2004,1,1,30,Friday,False
38,1999-06-25,1999,2,6,25,Friday,False
39,2014-01-24,2014,1,1,24,Friday,False
40,2011-10-12,2011,4,10,12,Wednesday,False
41,2002-04-25,2002,2,4,25,Thursday,False
42,1997-11-20,1997,4,11,20,Thursday,False
43,2005-06-24,2005,2,6,24,Friday,False
44,1995-07-31,1995,3,7,31,Monday,False
45,2006-04-12,2006,2,4,12,Wednesday,False
46,1995-08-21,1995,3,8,21,Monday,False
47,2002-06-24,2002,2,6,24,Monday,False
48,2011-04-01,2011,2,4,1,Friday,False
49,1999-12-09,1999,4,12,9,Thursday,False
50,2005-05-20,2005,2,5,20,Friday,False
51,2013-10-04,2013,4,10,4,Friday,False
52,2015-11-17,2015,4,11,17,Tuesday,False
53,2014-12-19,2014,4,12,19,Friday,False
54,1998-11-27,1998,4,11,27,Friday,False
55,2004-06-14,2004,2,6,14,Monday,False
56,2015-08-10,2015,3,8,10,Monday,False
57,2013-09-06,2013,3,9,6,Friday,False
58,1999-01-29,1999,1,1,29,Friday,False
59,2007-03-29,2007,1,3,29,Thursday,False
60,1997-01-27,1997,1,1,27,Monday,False
61,1996-07-12,1996,3,7,12,Friday,False
62,2016-02-11,2016,1,2,11,Thursday,False
