property_id,source,country,city,neighborhood,property_type,price_eur,area_m2,price_per_m2,bedrooms,bathrooms,floor,scraping_date
FUN_AMS_1,Funda,Netherlands,Amsterdam,Centrum,Luxury Apartment,10000000.0,531.42,18817.51,8,4,1,2025-11-05
FUN_AMS_2,Funda,Netherlands,Amsterdam,Oud Zuid,Canal House,1229141.51,61.79,19892.24,2,3,9,2025-06-05
FUN_AMS_3,Funda,Netherlands,Amsterdam,De Pijp,Villa,6486620.95,556.22,11661.97,1,2,4,2025-05-26
FUN_AMS_4,Funda,Netherlands,Amsterdam,Jordaan,Luxury Apartment,5497389.03,399.11,13774.12,8,1,3,2025-06-08
FUN_AMS_5,Funda,Netherlands,Amsterdam,Zuidas,Villa,5699966.32,589.92,9662.27,6,4,15,2025-11-22
FUN_AMS_6,Funda,Netherlands,Amsterdam,Oud Zuid,Villa,1193733.34,94.39,12646.82,8,2,10,2026-04-06
FUN_AMS_7,Funda,Netherlands,Amsterdam,Oud Zuid,Penthouse,8645190.87,524.38,16486.5,1,6,14,2025-10-20
FUN_AMS_8,Funda,Netherlands,Amsterdam,De Pijp,Loft,1407076.49,162.96,8634.49,2,6,2,2025-10-19
FUN_AMS_9,Funda,Netherlands,Amsterdam,Zuidas,Luxury Apartment,946100.92,114.99,8227.68,8,5,0,2026-02-07
FUN_AMS_10,Funda,Netherlands,Amsterdam,Jordaan,Luxury Apartment,2501962.15,302.2,8279.16,8,1,10,2025-08-12
FUN_AMS_11,Funda,Netherlands,Amsterdam,Jordaan,Villa,4191470.2,289.04,14501.35,1,5,10,2025-05-27
FUN_AMS_12,Funda,Netherlands,Amsterdam,Jordaan,Luxury Apartment,3674624.16,239.02,15373.71,5,1,4,2025-06-16
FUN_AMS_13,Funda,Netherlands,Amsterdam,Jordaan,Canal House,1116843.84,100.66,11095.21,1,3,12,2026-04-28
FUN_AMS_14,Funda,Netherlands,Amsterdam,Centrum,Canal House,3403700.97,362.83,9380.98,4,2,7,2025-02-01
FUN_AMS_15,Funda,Netherlands,Amsterdam,De Pijp,Villa,445876.54,54.22,8223.47,7,1,15,2025-10-11
FUN_AMS_16,Funda,Netherlands,Amsterdam,Zuidas,Canal House,3713121.7,237.57,15629.59,4,5,4,2025-04-15
FUN_AMS_17,Funda,Netherlands,Amsterdam,Jordaan,Penthouse,10000000.0,674.3,14830.19,3,2,13,2026-05-08
FUN_AMS_18,Funda,Netherlands,Amsterdam,Zuidas,Penthouse,10000000.0,655.78,15249.02,3,1,1,2025-07-14
FUN_AMS_19,Funda,Netherlands,Amsterdam,De Pijp,Luxury Apartment,6710301.61,526.56,12743.66,5,1,5,2025-03-04
FUN_AMS_20,Funda,Netherlands,Amsterdam,Jordaan,Loft,7136868.35,440.95,16185.21,5,4,6,2025-06-25
FUN_AMS_21,Funda,Netherlands,Amsterdam,De Pijp,Villa,2147385.29,262.18,8190.5,5,2,10,2025-12-21
FUN_AMS_22,Funda,Netherlands,Amsterdam,Jordaan,Canal House,7929641.06,482.35,16439.6,8,1,0,2026-01-26
FUN_AMS_23,Funda,Netherlands,Amsterdam,Oud Zuid,Loft,5246121.58,393.2,13342.12,2,6,2,2025-03-05
FUN_AMS_24,Funda,Netherlands,Amsterdam,De Pijp,Villa,5632106.73,593.03,9497.17,6,4,5,2025-07-09
FUN_AMS_25,Funda,Netherlands,Amsterdam,Jordaan,Villa,5554301.81,539.35,10298.14,1,2,0,2026-02-22
FUN_AMS_26,Funda,Netherlands,Amsterdam,Zuidas,Penthouse,10000000.0,678.25,14743.83,4,2,15,2025-11-07
FUN_AMS_27,Funda,Netherlands,Amsterdam,Jordaan,Canal House,1092774.51,108.78,10045.73,4,6,12,2025-04-10
FUN_AMS_28,Funda,Netherlands,Amsterdam,Zuidas,Loft,9700391.85,531.07,18265.75,3,1,4,2026-03-28
FUN_AMS_29,Funda,Netherlands,Amsterdam,Zuidas,Penthouse,7665497.48,694.65,11035.05,4,6,0,2025-10-14
FUN_AMS_30,Funda,Netherlands,Amsterdam,Oud Zuid,Canal House,7765834.68,602.82,12882.51,7,6,1,2025-03-04
FUN_AMS_31,Funda,Netherlands,Amsterdam,Zuidas,Villa,8120860.02,622.73,13040.74,8,3,1,2025-08-18
FUN_AMS_32,Funda,Netherlands,Amsterdam,De Pijp,Canal House,1506330.1,89.4,16849.33,7,2,10,2026-05-16
FUN_AMS_33,Funda,Netherlands,Amsterdam,Oud Zuid,Canal House,2116371.97,253.93,8334.47,4,2,5,2025-08-10
FUN_AMS_34,Funda,Netherlands,Amsterdam,Centrum,Loft,923381.9,106.71,8653.19,6,3,7,2025-06-20
FUN_AMS_35,Funda,Netherlands,Amsterdam,Zuidas,Luxury Apartment,4902519.49,543.13,9026.42,2,5,14,2025-02-01
FUN_AMS_36,Funda,Netherlands,Amsterdam,Centrum,Villa,4808878.29,555.46,8657.47,6,6,2,2025-11-09
FUN_AMS_37,Funda,Netherlands,Amsterdam,Oud Zuid,Canal House,3723210.22,406.91,9149.96,2,6,1,2026-01-21
FUN_AMS_38,Funda,Netherlands,Amsterdam,Oud Zuid,Luxury Apartment,3167312.36,343.7,9215.34,1,4,12,2025-11-30
FUN_AMS_39,Funda,Netherlands,Amsterdam,Centrum,Villa,1614545.84,106.82,15114.64,6,5,6,2026-03-07
FUN_AMS_40,Funda,Netherlands,Amsterdam,Jordaan,Loft,2776101.25,271.34,10231.08,3,6,8,2025-03-12
FUN_AMS_41,Funda,Netherlands,Amsterdam,Centrum,Canal House,5644951.16,376.23,15003.99,3,3,13,2025-10-05
FUN_AMS_42,Funda,Netherlands,Amsterdam,Jordaan,Luxury Apartment,3632302.95,228.56,15892.12,8,3,10,2025-03-16
FUN_AMS_43,Funda,Netherlands,Amsterdam,Centrum,Luxury Apartment,2873951.89,164.95,17423.17,1,4,11,2025-06-24
FUN_AMS_44,Funda,Netherlands,Amsterdam,Jordaan,Villa,6975784.97,601.59,11595.58,8,5,10,2025-06-18
FUN_AMS_45,Funda,Netherlands,Amsterdam,Jordaan,Canal House,1947079.16,180.9,10763.29,8,1,15,2025-11-16
FUN_AMS_46,Funda,Netherlands,Amsterdam,Jordaan,Luxury Apartment,10000000.0,571.84,17487.41,8,6,10,2025-01-04
