property_id,source,country,city,neighborhood,property_type,price_eur,area_m2,price_per_m2,bedrooms,bathrooms,floor,listing_url,scraping_date
LON_0,Rightmove,United Kingdom,London,"8 bedroom house for sale in Winnington Road, Hampstead, London, N2, United Kingdom, N2",House,29191500.0,15560.32,1876.02,8.0,8.0,,,2024-10-10
LON_1,Rightmove,United Kingdom,London,"7 bedroom house for sale in Brick Street, Mayfair, London, W1J",House,34515000.0,12040.23,2866.64,7.0,7.0,,,2026-05-21
LON_2,Rightmove,United Kingdom,London,"6 bedroom terraced house for sale in Chester Square, SW1W",Terraced,29250000.0,6458.62,4528.83,6.0,6.0,,,2026-05-21
LON_3,Rightmove,United Kingdom,London,"6 bedroom detached house for sale in Winnington Road, N2",Detached,29191500.0,15560.32,1876.02,6.0,6.0,,,2024-08-04
LON_4,Rightmove,United Kingdom,London,"8 bedroom detached house for sale in St. John's Wood, London, NW8",Detached,29191500.0,9514.2,3068.2,8.0,10.0,,,2026-05-21
LON_5,Rightmove,United Kingdom,London,"6 bedroom house for sale in Chapel Street, Belgravia, London, SW1X, United Kingdom, SW1X",House,29250000.0,6292.32,4648.52,6.0,5.0,,,2024-05-10
LON_6,Rightmove,United Kingdom,London,"5 bedroom house for sale in Marlborough Place, St John's Wood, London, NW8, United Kingdom, NW8",House,29250000.0,7089.43,4125.86,5.0,5.0,,,2026-05-21
LON_7,Rightmove,United Kingdom,London,"6 bedroom town house for sale in Chester Square, Belgravia, London, SW1W, United Kingdom, SW1W",Town House,29250000.0,5580.68,5241.3,6.0,7.0,,,2024-02-04
LON_8,Rightmove,United Kingdom,London,"6 bedroom terraced house for sale in Cornwall Terrace, Regent's Park, NW1",Terraced,29250000.0,8559.15,3417.4,6.0,6.0,,,2026-05-21
LON_9,Rightmove,United Kingdom,London,"6 bedroom terraced house for sale in Chester Square, Belgravia, SW1W",Terraced,29250000.0,5580.68,5241.3,6.0,7.0,,,2026-05-21
LON_10,Rightmove,United Kingdom,London,"3 bedroom apartment for sale in One Hyde Park, Knightsbridge, SW1X",Apartment,29250000.0,3719.84,7863.24,3.0,3.0,,,2024-05-07
LON_11,Rightmove,United Kingdom,London,"10 bedroom town house for sale in Lowndes Square, London, SW1X",Town House,29250000.0,6601.69,4430.68,10.0,10.0,,,2026-05-21
LON_12,Rightmove,United Kingdom,London,"10 bedroom terraced house for sale in Lowndes Square, London, SW1X",Terraced,29250000.0,11745.73,2490.27,10.0,9.0,,,2026-05-21
LON_13,Rightmove,United Kingdom,London,"6 bedroom house for sale in Chester Square, London, SW1W",House,29250000.0,5580.68,5241.3,6.0,7.0,,,2026-05-21
LON_14,Rightmove,United Kingdom,London,"5 bedroom duplex for sale in Park Crescent, London, W1B",Duplex,30917250.0,4909.92,6296.89,5.0,6.0,,,2026-05-21
LON_15,Rightmove,United Kingdom,London,"6 bedroom penthouse for sale in Knightsbridge Gate, Apartment 6, 55 Knightsbridge, SW1X",Penthouse,31005000.0,5772.99,5370.7,6.0,6.0,,,2026-05-21
LON_16,Rightmove,United Kingdom,London,"9 bedroom semi-detached house for sale in Down Street Mews, Mayfair, London, W1J",Semi-Detached,31274100.0,12031.87,2599.27,9.0,8.0,,,2026-05-21
LON_17,Rightmove,United Kingdom,London,"6 bedroom flat for sale in Knightsbridge, Knightsbridge Gate, London, SW1X, United Kingdom, SW1X",Flat,31005000.0,5772.99,5370.7,6.0,4.0,,,2026-05-21
LON_18,Rightmove,United Kingdom,London,"5 bedroom house for sale in Eaton Terrace, Belgravia, London, SW1W, United Kingdom, SW1W",House,32760000.0,6871.11,4767.79,5.0,6.0,,,2026-05-21
LON_19,Rightmove,United Kingdom,London,"7 bedroom terraced house for sale in Brick Street, Mayfair, London, W1J",Terraced,34515000.0,11920.38,2895.46,7.0,5.0,,,2026-05-21
LON_20,Rightmove,United Kingdom,London,"4 bedroom terraced house for sale in Eaton Terrace, Belgravia, London, SW1W",Terraced,32760000.0,6871.11,4767.79,4.0,6.0,,,2024-06-02
LON_21,Rightmove,United Kingdom,London,"7 bedroom house for sale in Brick Street, Mayfair, London, England, W1J, United Kingdom, W1J",House,34515000.0,12040.23,2866.64,7.0,7.0,,,2026-05-21
LON_22,Rightmove,United Kingdom,London,"8 bedroom town house for sale in Princes Gate, London, SW7",Town House,34515000.0,8760.75,3939.73,8.0,7.0,,,2024-08-07
LON_23,Rightmove,United Kingdom,London,"7 bedroom town house for sale in Princes Gate, South Kensington, SW7",Town House,34515000.0,8454.17,4082.6,7.0,6.0,,,2024-01-08
LON_24,Rightmove,United Kingdom,London,"9 bedroom detached house for sale in Cambridge Park, Twickenham, Greater London, TW1",Detached,35041500.0,17500.14,2002.36,9.0,12.0,,,2026-05-21
LON_25,Rightmove,United Kingdom,London,"Plot for sale in Piccadilly, Mayfair, London, W1J",Plot,35041500.0,13586.13,2579.21,,,,,2026-05-21
LON_26,Rightmove,United Kingdom,London,"6 bedroom house for sale in Piccadilly, Mayfair, W1J",House,35041500.0,14500.3,2416.61,6.0,6.0,,,2023-03-11
LON_27,Rightmove,United Kingdom,London,"6 bedroom terraced house for sale in Cadogan Place, Belgravia, London, SW1X",Terraced,35070750.0,7244.58,4840.96,6.0,7.0,,,2023-05-10
LON_28,Rightmove,United Kingdom,London,"8 bedroom detached house for sale in Avenue Road, NW8",Detached,35100000.0,5188.63,6764.79,8.0,3.0,,,2023-08-08
LON_29,Rightmove,United Kingdom,London,"11 bedroom terraced house for sale in FREEHOLD House in Park Street, Mayfair, W1K",Terraced,35100000.0,,,11.0,11.0,,,2024-07-06
LON_30,Rightmove,United Kingdom,London,"7 bedroom house for sale in Tregunter Road, Chelsea, London, SW10, United Kingdom, SW10",House,35100000.0,7714.67,4549.77,7.0,7.0,,,2026-05-21
LON_31,Rightmove,United Kingdom,London,"7 bedroom semi-detached house for sale in Tregunter Road, London, SW10",Semi-Detached,35100000.0,7650.56,4587.9,7.0,7.0,,,2026-05-21
LON_32,Rightmove,United Kingdom,London,"10 bedroom detached house for sale in Merton Lane, London, N6",Detached,37440000.0,16943.65,2209.68,10.0,9.0,,,2026-05-21
LON_33,Rightmove,United Kingdom,London,"8 bedroom detached house for sale in Campden Hill Place, London, W11",Detached,35100000.0,10965.34,3201.0,8.0,8.0,,,2024-04-09
LON_34,Rightmove,United Kingdom,London,"8 bedroom detached house for sale in Campden Hill Place, London, W11",Detached,35100000.0,10965.34,3201.0,8.0,8.0,,,2024-04-09
LON_35,Rightmove,United Kingdom,London,"4 bedroom penthouse for sale in The Mandarin Oriental, Mayfair, W1S",Penthouse,49394592.0,,,4.0,4.0,,,2026-05-21
LON_36,Rightmove,United Kingdom,London,"8 bedroom terraced house for sale in Wilton Crescent, London, SW1X",Terraced,44460000.0,8406.79,5288.58,8.0,8.0,,,2024-11-06
LON_37,Rightmove,United Kingdom,London,"5 bedroom house for sale in Merton Lane, Highgate, London, N6",House,37440000.0,12827.12,2918.82,5.0,,,,2026-05-21
LON_38,Rightmove,United Kingdom,London,"9 bedroom terraced house for sale in Buckingham Gate, SW1, SW1E",Terraced,52650000.0,14720.48,3576.65,9.0,9.0,,,2023-12-10
LON_39,Rightmove,United Kingdom,London,"6 bedroom property for sale in Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",Not Specified,51129000.0,7084.78,7216.74,6.0,7.0,,,2023-02-05
LON_40,Rightmove,United Kingdom,London,"4 bedroom apartment for sale in 22 Hanover Square, London, W1S 1JA, W1S",Apartment,49394592.0,2840.04,17392.22,4.0,,,,2026-05-21
LON_41,Rightmove,United Kingdom,London,"7 bedroom town house for sale in Whistler Square, London, SW1W",Town House,54990000.0,12139.64,4529.79,7.0,8.0,,,2024-10-09
LON_42,Rightmove,United Kingdom,London,"6 bedroom house for sale in Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom, SW1W",House,54990000.0,12139.64,4529.79,6.0,6.0,,,2024-09-09
LON_43,Rightmove,United Kingdom,London,"8 bedroom end of terrace house for sale in Balfour Place, Mayfair, London, W1K",End of Terrace,57915000.0,9036.67,6408.89,8.0,4.0,,,2024-04-09
